name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,networkKeys,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,basisOfRecord,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,dateIdentified,coordinateUncertaintyInMeters,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,geodeticDatum,class,countryCode,country,rightsHolder,identifier,informationWithheld,http...unknown.org.nick,verbatimEventDate,datasetName,verbatimLocality,gbifID,collectionCode,occurrenceID,taxonID,recordedBy,catalogNumber,http...unknown.org.occurrenceDetails,institutionCode,rights,eventTime,occurrenceRemarks,identificationID,http...unknown.org.recordedByOrcid,elevation,continent,institutionID,county,locality,type,vernacularName,samplingProtocol,individualCount,elevationAccuracy,habitat,samplingEffort,eventRemarks,language,locationAccordingTo,locationRemarks,previousIdentifications,fieldNotes,identificationRemarks,organismQuantity,verbatimCoordinateSystem,organismQuantityType,verbatimElevation,municipality,verbatimTaxonRank,collectionID,identifiedBy,sex,ownerInstitutionCode,eventID,sampleSizeUnit,parentEventID,sampleSizeValue,dynamicProperties,fieldNumber,preparations,occurrenceStatus,higherGeography,locationID,datasetID,accessRights,recordNumber,waterBody,endDayOfYear,startDayOfYear,identificationReferences,acceptedNameUsage,georeferencedBy,lifeStage,verbatimSRS,georeferenceVerificationStatus,higherClassification,dataGeneralizations,depth,depthAccuracy,namePublishedInYear,nameAccordingTo,bibliographicCitation,georeferenceSources,parentNameUsage,otherCatalogNumbers,taxonRemarks,infraspecificEpithet,coordinatePrecision,namePublishedIn,organismID,associatedReferences,earliestEraOrLowestErathem,earliestEpochOrLowestSeries,lowestBiostratigraphicZone,earliestPeriodOrLowestSystem,originalNameUsage,identificationVerificationStatus,georeferencedDate,nomenclaturalCode,georeferenceProtocol,identificationQualifier,establishmentMeans,georeferenceRemarks,disposition,reproductiveCondition,typeStatus,typifiedName,associatedSequences,earliestAgeOrLowestStage,taxonConceptID,lithostratigraphicTerms,latestAgeOrHighestStage,organismRemarks,leaflet_info
"Leopardus wiedii (Schinz, 1821)",-90.977771,16.115878,"cdround,gass84",gbif,2006085891,"Leopardus wiedii (Schinz, 1821)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2019-09-09T10:08:29.829+0000,2019-08-27T23:41:17.627+0000,183,HUMAN_OBSERVATION,2434950,1,44,359,732,9703,2434918,2434950,2434950,"Leopardus wiedii (Schinz, 1821)",Animalia,Chordata,Carnivora,Felidae,Leopardus,Leopardus wiedii,Leopardus,wiedii,SPECIES,ACCEPTED,2019-02-27T03:49:04,30841,Chiapas,2019,1,13,2019-01-13,2019-08-03T20:29:29.000+0000,2019-09-20T20:31:25.911+0000,https://www.inaturalist.org/observations/20795565,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,MX,Mexico,omar_carax,20795565,Coordinate uncertainty increased to 30841m to protect threatened taxon,omar_carax,2019/01/13 1:24 PM SST,iNaturalist research-grade observations,"Chiapas, MX",2006085891,Observations,https://www.inaturalist.org/observations/20795565,41988,omar_carax,20795565,https://www.inaturalist.org/observations/20795565,iNaturalist,© omar_carax some rights reserved,23:24:00Z,registro al rededor de las 2:00 am,46217563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Species: </b> Leopardus wiedii </a><br/> <b>rowID:</b> 1 <br/><b>Record key:</b> 2006085891 <br/><b>Identified on: </b> 2019-02-27T03:49:04 <br/><b>Record url: </b><a href=' https://www.inaturalist.org/observations/20795565 '>click</a>
"Leopardus wiedii (Schinz, 1821)",-104.975674,21.228968,"cdround,gass84",gbif,2242747168,"Leopardus wiedii (Schinz, 1821)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2019-09-09T10:07:32.212+0000,2019-08-27T23:39:28.919+0000,183,HUMAN_OBSERVATION,2434950,1,44,359,732,9703,2434918,2434950,2434950,"Leopardus wiedii (Schinz, 1821)",Animalia,Chordata,Carnivora,Felidae,Leopardus,Leopardus wiedii,Leopardus,wiedii,SPECIES,ACCEPTED,2019-02-03T23:08:51,30396,Nayarit,2019,1,31,2019-01-31,2019-08-03T20:31:23.000+0000,2019-09-20T20:31:23.765+0000,https://www.inaturalist.org/observations/20066218,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,MX,Mexico,Victor Luja,20066218,Coordinate uncertainty increased to 30396m to protect threatened taxon,vhl,2019/01/31 8:40 PM CST,iNaturalist research-grade observations,"Nayarit, MX",2242747168,Observations,https://www.inaturalist.org/observations/20066218,41988,Victor Luja,20066218,https://www.inaturalist.org/observations/20066218,iNaturalist,© Victor Luja some rights reserved,02:40:00Z,Duda entre Tigrillo y Ocelote...,44476641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Species: </b> Leopardus wiedii </a><br/> <b>rowID:</b> 2 <br/><b>Record key:</b> 2242747168 <br/><b>Identified on: </b> 2019-02-03T23:08:51 <br/><b>Record url: </b><a href=' https://www.inaturalist.org/observations/20066218 '>click</a>
"Leopardus wiedii (Schinz, 1821)",-87.630752,20.469322,"cdround,gass84",gbif,2005341488,"Leopardus wiedii (Schinz, 1821)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2019-09-09T10:07:59.880+0000,2019-08-27T23:40:17.903+0000,183,HUMAN_OBSERVATION,2434950,1,44,359,732,9703,2434918,2434950,2434950,"Leopardus wiedii (Schinz, 1821)",Animalia,Chordata,Carnivora,Felidae,Leopardus,Leopardus wiedii,Leopardus,wiedii,SPECIES,ACCEPTED,2019-02-15T00:55:52,30472,Quintana Roo,2019,2,10,2019-02-10,2019-08-03T20:31:02.000+0000,2019-09-20T20:31:25.134+0000,https://www.inaturalist.org/observations/20353642,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,MX,Mexico,stevehampton,20353642,Coordinate uncertainty increased to 30472m to protect threatened taxon,stevehampton,2019/02/10 4:51 PM -0800,iNaturalist research-grade observations,"Quintana Roo, MX",2005341488,Observations,https://www.inaturalist.org/observations/20353642,41988,stevehampton,20353642,https://www.inaturalist.org/observations/20353642,iNaturalist,© stevehampton some rights reserved,00:51:00Z,Found sleeping in tree along path to far ruins,45270671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Species: </b> Leopardus wiedii </a><br/> <b>rowID:</b> 3 <br/><b>Record key:</b> 2005341488 <br/><b>Identified on: </b> 2019-02-15T00:55:52 <br/><b>Record url: </b><a href=' https://www.inaturalist.org/observations/20353642 '>click</a>
"Leopardus wiedii (Schinz, 1821)",-83.303423,8.508516,"cdround,gass84",gbif,2006061364,"Leopardus wiedii (Schinz, 1821)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2019-09-09T10:08:23.148+0000,2019-08-27T23:41:03.212+0000,183,HUMAN_OBSERVATION,2434950,1,44,359,732,9703,2434918,2434950,2434950,"Leopardus wiedii (Schinz, 1821)",Animalia,Chordata,Carnivora,Felidae,Leopardus,Leopardus wiedii,Leopardus,wiedii,SPECIES,ACCEPTED,2019-02-24T13:37:58,31279,Puntarenas,2019,2,23,2019-02-23,2019-08-03T20:30:21.000+0000,2019-09-20T20:31:24.031+0000,https://www.inaturalist.org/observations/20726582,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,CR,Costa Rica,Scott Loarie,20726582,Coordinate uncertainty increased to 31279m to protect threatened taxon,loarie,Sat Feb 23 2019 15:34:54 GMT-0600 (CST),iNaturalist research-grade observations,"Golfito, CR-PU, CR",2006061364,Observations,https://www.inaturalist.org/observations/20726582,41988,Scott Loarie,20726582,https://www.inaturalist.org/observations/20726582,iNaturalist,By Scott Loarie no rights reserved,21:34:54Z,Margay or ocelot?,46017726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Species: </b> Leopardus wiedii </a><br/> <b>rowID:</b> 4 <br/><b>Record key:</b> 2006061364 <br/><b>Identified on: </b> 2019-02-24T13:37:58 <br/><b>Record url: </b><a href=' https://www.inaturalist.org/observations/20726582 '>click</a>
"Leopardus wiedii (Schinz, 1821)",-83.288809,8.569859,"cdround,gass84",gbif,2012983853,"Leopardus wiedii (Schinz, 1821)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2019-09-09T10:08:43.525+0000,2019-08-27T23:41:40.718+0000,183,HUMAN_OBSERVATION,2434950,1,44,359,732,9703,2434918,2434950,2434950,"Leopardus wiedii (Schinz, 1821)",Animalia,Chordata,Carnivora,Felidae,Leopardus,Leopardus wiedii,Leopardus,wiedii,SPECIES,ACCEPTED,2019-03-03T17:33:02,31279,Puntarenas,2019,2,23,2019-02-23,2019-08-03T20:28:16.000+0000,2019-09-20T20:31:25.392+0000,https://www.inaturalist.org/observations/20914807,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,CR,Costa Rica,Don Loarie,20914807,Coordinate uncertainty increased to 31279m to protect threatened taxon,dloarie,2019/02/23 1:34 PM PST,iNaturalist research-grade observations,"Golfito, CR-PU, CR",2012983853,Observations,https://www.inaturalist.org/observations/20914807,41988,Don Loarie,20914807,https://www.inaturalist.org/observations/20914807,iNaturalist,© Don Loarie some rights reserved,21:34:00Z,,46545616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Species: </b> Leopardus wiedii </a><br/> <b>rowID:</b> 5 <br/><b>Record key:</b> 2012983853 <br/><b>Identified on: </b> 2019-03-03T17:33:02 <br/><b>Record url: </b><a href=' https://www.inaturalist.org/observations/20914807 '>click</a>
"Leopardus wiedii (Schinz, 1821)",-96.463782,17.66055,"cdround,gass84",gbif,2237460998,"Leopardus wiedii (Schinz, 1821)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2019-09-09T10:11:26.253+0000,2019-08-28T00:08:54.469+0000,183,HUMAN_OBSERVATION,2434950,1,44,359,732,9703,2434918,2434950,2434950,"Leopardus wiedii (Schinz, 1821)",Animalia,Chordata,Carnivora,Felidae,Leopardus,Leopardus wiedii,Leopardus,wiedii,SPECIES,ACCEPTED,2019-04-21T02:24:13,30716,Oaxaca,2019,2,22,2019-02-22,2019-08-03T20:25:31.000+0000,2019-09-20T20:31:23.765+0000,https://www.inaturalist.org/observations/22794018,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,MX,Mexico,Drymarchon Simón,22794018,Coordinate uncertainty increased to 30716m to protect threatened taxon,rogelio_simon,2019/02/22 8:59 PM CST,iNaturalist research-grade observations,"Oaxaca, MX",2237460998,Observations,https://www.inaturalist.org/observations/22794018,41988,Drymarchon Simón,22794018,https://www.inaturalist.org/observations/22794018,iNaturalist,© Drymarchon Simón some rights reserved,02:59:00Z,,50775033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Species: </b> Leopardus wiedii </a><br/> <b>rowID:</b> 6 <br/><b>Record key:</b> 2237460998 <br/><b>Identified on: </b> 2019-04-21T02:24:13 <br/><b>Record url: </b><a href=' https://www.inaturalist.org/observations/22794018 '>click</a>
"Leopardus wiedii (Schinz, 1821)",-96.47963,15.95352,"cdround,gass84",gbif,2235486690,"Leopardus wiedii (Schinz, 1821)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2019-09-09T10:10:02.524+0000,2019-08-27T23:44:09.644+0000,183,HUMAN_OBSERVATION,2434950,1,44,359,732,9703,2434918,2434950,2434950,"Leopardus wiedii (Schinz, 1821)",Animalia,Chordata,Carnivora,Felidae,Leopardus,Leopardus wiedii,Leopardus,wiedii,SPECIES,ACCEPTED,2019-03-29T20:43:15,30855,Oaxaca,2019,3,26,2019-03-26,2019-08-03T20:27:11.000+0000,2019-09-20T20:31:24.980+0000,https://www.inaturalist.org/observations/21744657,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,MX,Mexico,Erick Noe Tapia Banda,21744657,Coordinate uncertainty increased to 30855m to protect threatened taxon,momoto-erick,2019/03/26 3:16 PM CST,iNaturalist research-grade observations,"Oaxaca, MX",2235486690,Observations,https://www.inaturalist.org/observations/21744657,41988,Erick Noe Tapia Banda,21744657,https://www.inaturalist.org/observations/21744657,iNaturalist,© Erick Noe Tapia Banda some rights reserved,21:16:00Z,Atropellado en las afueras de Pluma Hidalgo.,48597719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Species: </b> Leopardus wiedii </a><br/> <b>rowID:</b> 7 <br/><b>Record key:</b> 2235486690 <br/><b>Identified on: </b> 2019-03-29T20:43:15 <br/><b>Record url: </b><a href=' https://www.inaturalist.org/observations/21744657 '>click</a>
"Leopardus wiedii (Schinz, 1821)",-93.462994,16.147484,"cdround,gass84",gbif,1848809125,"Leopardus wiedii (Schinz, 1821)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2019-09-09T09:52:09.686+0000,2019-08-27T22:03:04.098+0000,183,HUMAN_OBSERVATION,2434950,1,44,359,732,9703,2434918,2434950,2434950,"Leopardus wiedii (Schinz, 1821)",Animalia,Chordata,Carnivora,Felidae,Leopardus,Leopardus wiedii,Leopardus,wiedii,SPECIES,ACCEPTED,2018-06-04T16:10:52,30841,Chiapas,2018,3,21,2018-03-21,2019-08-03T20:59:15.000+0000,2019-09-20T20:31:23.765+0000,https://www.inaturalist.org/observations/13115162,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,MX,Mexico,Diego Manzano Méndez,13115162,Coordinate uncertainty increased to 30841m to protect threatened taxon,diegoman,2018/03/21 9:01 PM HST,iNaturalist research-grade observations,"Chiapas, MX",1848809125,Observations,https://www.inaturalist.org/observations/13115162,41988,Diego Manzano Méndez,13115162,https://www.inaturalist.org/observations/13115162,iNaturalist,© Diego Manzano Méndez some rights reserved,07:01:00Z,"Fotografía tomada como parte de un proyecto de identificación de Atributos de Alto Valor para la Conservación de la Biodiversidad en áreas con aprovechamientos forestales, Pronatura Sur A.C.",28523644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Species: </b> Leopardus wiedii </a><br/> <b>rowID:</b> 8 <br/><b>Record key:</b> 1848809125 <br/><b>Identified on: </b> 2018-06-04T16:10:52 <br/><b>Record url: </b><a href=' https://www.inaturalist.org/observations/13115162 '>click</a>
"Leopardus wiedii (Schinz, 1821)",-93.475471,16.155643,"cdround,gass84",gbif,1848809441,"Leopardus wiedii (Schinz, 1821)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2019-09-09T09:52:09.419+0000,2019-08-27T22:03:03.728+0000,183,HUMAN_OBSERVATION,2434950,1,44,359,732,9703,2434918,2434950,2434950,"Leopardus wiedii (Schinz, 1821)",Animalia,Chordata,Carnivora,Felidae,Leopardus,Leopardus wiedii,Leopardus,wiedii,SPECIES,ACCEPTED,2018-06-04T16:23:20,30841,Chiapas,2018,4,7,2018-04-07,2019-08-03T20:56:14.000+0000,2019-09-20T20:31:23.765+0000,https://www.inaturalist.org/observations/13115930,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,MX,Mexico,Diego Manzano Méndez,13115930,Coordinate uncertainty increased to 30841m to protect threatened taxon,diegoman,2018/04/07 5:29 AM HST,iNaturalist research-grade observations,"Chiapas, MX",1848809441,Observations,https://www.inaturalist.org/observations/13115930,41988,Diego Manzano Méndez,13115930,https://www.inaturalist.org/observations/13115930,iNaturalist,© Diego Manzano Méndez some rights reserved,15:29:00Z,"Fotografía tomada como parte de un proyecto de identificación de Atributos de Alto Valor para la Conservación de la Biodiversidad en áreas con aprovechamientos forestales, Pronatura Sur A.C.",28524511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Species: </b> Leopardus wiedii </a><br/> <b>rowID:</b> 9 <br/><b>Record key:</b> 1848809441 <br/><b>Identified on: </b> 2018-06-04T16:23:20 <br/><b>Record url: </b><a href=' https://www.inaturalist.org/observations/13115930 '>click</a>
"Leopardus wiedii (Schinz, 1821)",-78.660357,0.280178,"cdround,gass84",gbif,1944380939,"Leopardus wiedii (Schinz, 1821)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2019-09-09T10:04:24.587+0000,2019-08-27T22:59:33.582+0000,183,HUMAN_OBSERVATION,2434950,1,44,359,732,9703,2434918,2434950,2434950,"Leopardus wiedii (Schinz, 1821)",Animalia,Chordata,Carnivora,Felidae,Leopardus,Leopardus wiedii,Leopardus,wiedii,SPECIES,ACCEPTED,2018-11-06T16:37:04,31451,Imbabura,2018,5,1,2018-05-01,2019-08-03T20:36:58.000+0000,2019-09-20T20:31:25.482+0000,https://www.inaturalist.org/observations/18172031,http://creativecommons.org/licenses/by-nc/4.0/legalcode,WGS84,Mammalia,EC,Ecuador,alexwcranston,18172031,Coordinate uncertainty increased to 31451m to protect threatened taxon,alexwcranston,2018-05-01,iNaturalist research-grade observations,Ecuador,1944380939,Observations,https://www.inaturalist.org/observations/18172031,41988,alexwcranston,18172031,https://www.inaturalist.org/observations/18172031,iNaturalist,© alexwcranston some rights reserved,,Margay or ocelot. Taken on a camera trap at Bosque Protector Los Cedros (hence the poor quality),39078243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<b>Species: </b> Leopardus wiedii </a><br/> <b>rowID:</b> 10 <br/><b>Record key:</b> 1944380939 <br/><b>Identified on: </b> 2018-11-06T16:37:04 <br/><b>Record url: </b><a href=' https://www.inaturalist.org/observations/18172031 '>click</a>
